2022 NAICS,2017 NAICS,BEA_Detail,BEA_Summary
111110,111110,1111A0,111CA
111120,111120,1111A0,111CA
111130,111130,1111B0,111CA
111140,111140,1111B0,111CA
111150,111150,1111B0,111CA
111160,111160,1111B0,111CA
111191,111191,1111B0,111CA
111199,111199,1111B0,111CA
111211,111211,111200,111CA
111219,111219,111200,111CA
111310,111310,111300,111CA
111320,111320,111300,111CA
111331,111331,111300,111CA
111332,111332,111300,111CA
111333,111333,111300,111CA
111334,111334,111300,111CA
111335,111335,111300,111CA
111336,111336,111300,111CA
111339,111339,111300,111CA
111411,111411,111400,111CA
111419,111419,111400,111CA
111421,111421,111400,111CA
111422,111422,111400,111CA
111910,111910,111900,111CA
111920,111920,111900,111CA
111930,111930,111900,111CA
111940,111940,111900,111CA
111991,111991,111900,111CA
111992,111992,111900,111CA
111998,111998,111900,111CA
112111,112111,1121A0,111CA
112112,112112,1121A0,111CA
112120,112120,112120,111CA
112130,112130,1121A0,111CA
112210,112210,112A00,111CA
112310,112310,112300,111CA
112320,112320,112300,111CA
112330,112330,112300,111CA
112340,112340,112300,111CA
112390,112390,112300,111CA
112410,112410,112A00,111CA
112420,112420,112A00,111CA
112511,112511,112A00,111CA
112512,112512,112A00,111CA
112519,112519,112A00,111CA
112910,112910,112A00,111CA
112920,112920,112A00,111CA
112930,112930,112A00,111CA
112990,112990,112A00,111CA
113110,113110,113000,113FF
113210,113210,113000,113FF
113310,113310,113000,113FF
114111,114111,114000,113FF
114112,114112,114000,113FF
114119,114119,114000,113FF
114210,114210,114000,113FF
115111,115111,115000,113FF
115112,115112,115000,113FF
115113,115113,115000,113FF
115114,115114,115000,113FF
115115,115115,115000,113FF
115116,115116,115000,113FF
115210,115210,115000,113FF
115310,115310,115000,113FF
211120,211120,211000,211
211130,211130,211000,211
212114,212111,212100,212
212114,212113,212100,212
212115,212112,212100,212
212115,212113,212100,212
212210,212210,2122A0,212
212220,212221,2122A0,212
212220,212222,2122A0,212
212230,212230,212230,212
212290,212291,2122A0,212
212290,212299,2122A0,212
212311,212311,212310,212
212312,212312,212310,212
212313,212313,212310,212
212319,212319,212310,212
212321,212321,2123A0,212
212322,212322,2123A0,212
212323,212324,2123A0,212
212323,212325,2123A0,212
212390,212391,2123A0,212
212390,212392,2123A0,212
212390,212393,2123A0,212
212390,212399,2123A0,212
213111,213111,213111,213
213112,213112,21311A,213
213113,213113,21311A,213
213114,213114,21311A,213
213115,213115,21311A,213
221111,221111,221100,22
221112,221112,221100,22
221113,221113,221100,22
221114,221114,221100,22
221115,221115,221100,22
221116,221116,221100,22
221117,221117,221100,22
221118,221118,221100,22
221121,221121,221100,22
221122,221122,221100,22
221210,221210,221200,22
221310,221310,221300,22
221320,221320,221300,22
221330,221330,221300,22
236115,236115,233411,23
236116,236116,233412,23
236117,236117,233411,23
236117,236117,233412,23
236117,236117,2334A0,23
236118,236118,230302,23
236210,236210,230301,23
236210,236210,233230,23
236220,236220,230301,23
236220,236220,233210,23
236220,236220,233262,23
236220,236220,2332A0,23
237110,237110,233240,23
237120,237120,233240,23
237130,237130,233240,23
237210,237210,233210,23
237210,237210,233230,23
237210,237210,233240,23
237210,237210,233262,23
237210,237210,2332A0,23
237210,237210,2332C0,23
237210,237210,2332D0,23
237210,237210,233411,23
237210,237210,233412,23
237210,237210,2334A0,23
237310,237310,2332C0,23
237990,237990,2332D0,23
238110,238110,230301,23
238110,238110,230302,23
238110,238110,233210,23
238110,238110,233230,23
238110,238110,233240,23
238110,238110,233262,23
238110,238110,2332A0,23
238110,238110,2332D0,23
238110,238110,233411,23
238110,238110,233412,23
238110,238110,2334A0,23
238120,238120,230301,23
238120,238120,230302,23
238120,238120,233210,23
238120,238120,233230,23
238120,238120,233240,23
238120,238120,233262,23
238120,238120,2332A0,23
238120,238120,2332D0,23
238120,238120,233411,23
238120,238120,233412,23
238120,238120,2334A0,23
238130,238130,230301,23
238130,238130,230302,23
238130,238130,233210,23
238130,238130,233230,23
238130,238130,233240,23
238130,238130,233262,23
238130,238130,2332A0,23
238130,238130,2332D0,23
238130,238130,233411,23
238130,238130,233412,23
238130,238130,2334A0,23
238140,238140,230301,23
238140,238140,230302,23
238140,238140,233210,23
238140,238140,233230,23
238140,238140,233240,23
238140,238140,233262,23
238140,238140,2332A0,23
238140,238140,2332D0,23
238140,238140,233411,23
238140,238140,233412,23
238140,238140,2334A0,23
238150,238150,230301,23
238150,238150,230302,23
238150,238150,233210,23
238150,238150,233230,23
238150,238150,233240,23
238150,238150,233262,23
238150,238150,2332A0,23
238150,238150,2332D0,23
238150,238150,233411,23
238150,238150,233412,23
238150,238150,2334A0,23
238160,238160,230301,23
238160,238160,230302,23
238160,238160,233210,23
238160,238160,233230,23
238160,238160,233240,23
238160,238160,233262,23
238160,238160,2332A0,23
238160,238160,2332D0,23
238160,238160,233411,23
238160,238160,233412,23
238160,238160,2334A0,23
238170,238170,230301,23
238170,238170,230302,23
238170,238170,233210,23
238170,238170,233230,23
238170,238170,233240,23
238170,238170,233262,23
238170,238170,2332A0,23
238170,238170,2332D0,23
238170,238170,233411,23
238170,238170,233412,23
238170,238170,2334A0,23
238190,238190,230301,23
238190,238190,230302,23
238190,238190,233210,23
238190,238190,233230,23
238190,238190,233240,23
238190,238190,233262,23
238190,238190,2332A0,23
238190,238190,2332D0,23
238190,238190,233411,23
238190,238190,233412,23
238190,238190,2334A0,23
238210,238210,230301,23
238210,238210,230302,23
238210,238210,233210,23
238210,238210,233230,23
238210,238210,233240,23
238210,238210,233262,23
238210,238210,2332A0,23
238210,238210,2332D0,23
238210,238210,233411,23
238210,238210,233412,23
238210,238210,2334A0,23
238220,238220,230301,23
238220,238220,230302,23
238220,238220,233210,23
238220,238220,233230,23
238220,238220,233240,23
238220,238220,233262,23
238220,238220,2332A0,23
238220,238220,2332D0,23
238220,238220,233411,23
238220,238220,233412,23
238220,238220,2334A0,23
238290,238290,230301,23
238290,238290,230302,23
238290,238290,233210,23
238290,238290,233230,23
238290,238290,233240,23
238290,238290,233262,23
238290,238290,2332A0,23
238290,238290,2332D0,23
238290,238290,233411,23
238290,238290,233412,23
238290,238290,2334A0,23
238310,238310,230301,23
238310,238310,230302,23
238310,238310,233210,23
238310,238310,233230,23
238310,238310,233240,23
238310,238310,233262,23
238310,238310,2332A0,23
238310,238310,2332D0,23
238310,238310,233411,23
238310,238310,233412,23
238310,238310,2334A0,23
238320,238320,230301,23
238320,238320,230302,23
238320,238320,233210,23
238320,238320,233230,23
238320,238320,233240,23
238320,238320,233262,23
238320,238320,2332A0,23
238320,238320,2332D0,23
238320,238320,233411,23
238320,238320,233412,23
238320,238320,2334A0,23
238330,238330,230301,23
238330,238330,230302,23
238330,238330,233210,23
238330,238330,233230,23
238330,238330,233240,23
238330,238330,233262,23
238330,238330,2332A0,23
238330,238330,2332D0,23
238330,238330,233411,23
238330,238330,233412,23
238330,238330,2334A0,23
238340,238340,230301,23
238340,238340,230302,23
238340,238340,233210,23
238340,238340,233230,23
238340,238340,233240,23
238340,238340,233262,23
238340,238340,2332A0,23
238340,238340,2332D0,23
238340,238340,233411,23
238340,238340,233412,23
238340,238340,2334A0,23
238350,238350,230301,23
238350,238350,230302,23
238350,238350,233210,23
238350,238350,233230,23
238350,238350,233240,23
238350,238350,233262,23
238350,238350,2332A0,23
238350,238350,2332D0,23
238350,238350,233411,23
238350,238350,233412,23
238350,238350,2334A0,23
238390,238390,230301,23
238390,238390,230302,23
238390,238390,233210,23
238390,238390,233230,23
238390,238390,233240,23
238390,238390,233262,23
238390,238390,2332A0,23
238390,238390,2332D0,23
238390,238390,233411,23
238390,238390,233412,23
238390,238390,2334A0,23
238910,238910,230301,23
238910,238910,230302,23
238910,238910,233210,23
238910,238910,233230,23
238910,238910,233240,23
238910,238910,233262,23
238910,238910,2332A0,23
238910,238910,2332D0,23
238910,238910,233411,23
238910,238910,233412,23
238910,238910,2334A0,23
238990,238990,230301,23
238990,238990,230302,23
238990,238990,233210,23
238990,238990,233230,23
238990,238990,233240,23
238990,238990,233262,23
238990,238990,2332A0,23
238990,238990,2332D0,23
238990,238990,233411,23
238990,238990,233412,23
238990,238990,2334A0,23
311111,311111,311111,311FT
311119,311119,311119,311FT
311211,311211,311210,311FT
311212,311212,311210,311FT
311213,311213,311210,311FT
311221,311221,311221,311FT
