BEA_Summary,BEA_Detail,DnB_Share_CA,X_Share_US,alpha_CA,CA_Share_Used,DetailedOutput_CA_CA,D_cal_CA,CA_Direct_Emissions,CA_Output_Weight,CA_Emissions_Weight
111CA,1111A0,0.000507712314859919,0.09662216828478964,0.0,0.09662216828478964,7286162143.935558,0.0010430298313117686,7599684.471899299,0.09662216828478964,0.05838803381036683
111CA,1111B0,0.01812092735664997,0.14633394012944984,0.0,0.14633394012944984,11034867400.217245,0.002038121467059421,22490400.13453695,0.14633394012944984,0.17279273216139684
111CA,111200,0.1274675994453727,0.04754500404530744,0.0,0.04754500404530744,3585311888.128223,0.0011641165358371522,4173720.8551035863,0.04754500404530744,0.03206650951153469
111CA,111300,0.21498355718930992,0.07572815533980583,0.0,0.07572815533980583,5710569618.357699,0.000716289733209934,4090422.388410191,0.07572815533980583,0.03142653114037605
111CA,111400,0.13216646369058044,0.05023260517799353,0.0,0.05023260517799353,3787980674.997689,0.0007222851596004195,2736002.2264040103,0.05023260517799353,0.021020581984845473
111CA,111900,0.3130859376738562,0.06719002831715211,0.0,0.06719002831715211,5066719671.736641,0.0013615776069780554,6898732.045871814,0.06719002831715211,0.053002647864189116
111CA,112120,0.05891348682621747,0.0974463996763754,0.0,0.0974463996763754,7348316447.340493,0.002408158535532288,17695910.97445531,0.0974463996763754,0.13595688769740663
111CA,1121A0,0.013183274039569181,0.22261579692556635,0.0,0.22261579692556635,16787190983.132248,0.0031079901729173334,52174424.606461495,0.22261579692556635,0.40085375639248977
111CA,112300,0.055771040243448256,0.11267951051779936,0.0,0.11267951051779936,8497027116.0973425,0.00016413072673607815,1394623.235661219,0.11267951051779936,0.010714827561276341
111CA,112A00,0.06580000122013598,0.08360639158576051,0.0,0.08360639158576051,6304657990.780328,0.0017295675660983045,10904331.976196159,0.08360639158576051,0.08377749187611824
113FF,113000,0.025125303028893355,0.35215436493068564,1.0,0.025125303028893355,560854735.7396505,0.00039760992110441745,223001.40722848132,0.025125303028893358,0.021648629020972057
113FF,114000,0.0067391263597916876,0.16736605470213564,1.0,0.0067391263597916876,150432849.6770992,0.00033148348523005436,49866.0053040537,0.0067391263597916876,0.004840914068668746
